,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,6sxptembJVty4sNtcPMAVz,Man! I Feel Like A Woman!,Shania Twain,75,1997-11-04,0.657,0.639,10,-7.527,1,0.581,0.0,0.278,0.674,124.882,234493,4
1,6iy4PoAuZBMvtrlDX4VxC7,Check Yes Or No,George Strait,69,1995-09-12,0.708,0.524,5,-12.644,1,0.0551,3.21e-06,0.0371,0.69,111.482,200667,4
2,4w3tQBXhn5345eUXDGBWZG,9 to 5,Dolly Parton,75,1980,0.554,0.783,6,-5.852,1,0.416,1.54e-06,0.631,0.813,105.39,162467,4
3,5KqldkCunQ2rWxruMEtGh0,The Gambler,Kenny Rogers,73,1978-11-20,0.671,0.501,4,-13.119,1,0.342,0.0,0.194,0.86,87.04,214880,4
4,6xHI9KjUjYT0FPtGO8Mxa1,Hurricane,Luke Combs,73,2017-06-02,0.464,0.813,10,-6.185,1,0.0153,0.0,0.254,0.515,75.977,222533,4
5,23T0OX7QOiIUFShSzbJ5Uo,I Hope,Gabby Barrett,70,2020-06-19,0.466,0.536,6,-6.227,1,0.0951,0.0,0.114,0.377,75.998,210773,4
6,5kNe7PE09d6Kvw5pAsx23n,Die A Happy Man,Thomas Rhett,70,2015-01-01,0.595,0.389,2,-9.245,1,0.418,1.39e-06,0.116,0.4,166.052,227427,4
7,1wb4P4F0sxAQ2KXrRvsx6n,You're Still The One,Shania Twain,75,1997-11-04,0.585,0.494,3,-8.751,1,0.363,0.0,0.0886,0.634,133.822,212200,4
8,11EX5yhxr9Ihl3IN1asrfK,Need You Now,Lady A,70,2010-01-01,0.587,0.622,4,-5.535,1,0.0927,0.000636,0.2,0.231,107.943,277573,4
9,7nVQ8mo77KaUvhUQzh4vMy,Mammas Don't Let Your Babies Grow up to Be Cowboys,Willie Nelson,65,1978-01-01,0.363,0.361,9,-14.398,1,0.623,0.00119,0.154,0.612,187.711,152867,3
10,6BkK5Dsu1kTne7Cn6EyYex,Why Not Me,The Judds,62,1984-10-15,0.732,0.667,10,-9.278,1,0.502,4.07e-06,0.0524,0.727,125.6,211267,4
11,59kHPbwyyCApYA8RQQEuXm,Chattahoochee,Alan Jackson,69,1992-10-09,0.606,0.706,0,-9.665,1,0.362,0.0,0.16,0.819,174.533,148160,4
