id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4RhOmIlU4QjZ7dGYwCUUMq,miss u,Blackpanda,54,2021-02-25,0.693,0.601,9,-9.414,1,0.112,0.0108,0.155,0.364,95.007,159787,4
1fOup4VjnCLIU8qv0kgs2j,Too Many Drugs,Rigoberta Bandini,0,2020-02-28,0.778,0.722,9,-7.751,1,0.0641,0.198,0.102,0.477,114.987,328996,4
0mzvDQW1IgLuXAwD5YMN6i,Cafeliko,Jimena Amarillo,52,2021-03-12,0.766,0.333,7,-13.775,0,0.824,0.0017,0.159,0.45,95.951,126985,4
6ClMwDfFUcwOPqiB6iNjCv,una luz,Gus,35,2020-05-15,0.629,0.251,6,-13.395,1,0.826,1.11e-05,0.0914,0.606,115.032,176040,3
7nByHsiIV08TNL6hG4nBBs,culpa,Valeria Castro,53,2021-06-18,0.601,0.139,5,-11.742,1,0.97,1.16e-05,0.2,0.219,125.879,198720,4
7Kn7TYpJT0fjv5he98acyq,Hoy,DORA,51,2020-06-05,0.81,0.287,4,-10.28,1,0.801,3.2e-05,0.113,0.658,114.11,143896,4
3TDIrNpqBTHx4ePEBh6zyR,ojitos caramelo,Gala Nell,0,2021-06-18,0.63,0.295,11,-9.952,1,0.894,0.0,0.243,0.502,64.655,147761,4
4RIi1gNmKDzSH04Vvws2DK,Ya No Te Hago Falta,Sen Senra,63,2019-11-29,0.56,0.311,9,-8.508,1,0.934,6.02e-05,0.0706,0.452,180.05,161600,4
6oNF4mTDylJfuQF9Wqb3Hw,2010,Roy Borland,50,2021-04-09,0.847,0.191,7,-15.031,1,0.493,0.000132,0.0554,0.428,108.18,184750,4
7BYO980wn5wYBZeVdBuGy2,Algo contigo,Elisabeth Roma,61,2019-05-17,0.528,0.189,9,-10.708,1,0.978,0.0152,0.102,0.247,96.053,297665,4
4VD1tBHGujKPhkaEji4v5Q,Something About,Jantoje,55,2019-10-18,0.748,0.477,1,-9.116,1,0.844,0.775,0.105,0.224,115.997,168424,4
3e8haeh6alXHp8bwLhk4Vc,Todo Lamento,Natalia Lacunza,61,2021-12-09,0.644,0.588,11,-8.137,1,0.62,9.19e-06,0.109,0.319,147.943,155676,4
25mYG9U2wb2UnQrOVkSIbE,Ni Se Nota,Jimena Amarillo,56,2020-09-22,0.766,0.493,10,-9.225,1,0.765,0.000781,0.101,0.644,93.023,161215,4
3g41HUwC9cEQURbzxZoBaJ,negra,Gus,33,2020-07-24,0.426,0.349,4,-12.867,1,0.852,0.000293,0.083,0.476,81.931,265954,4
3Mjv5UetR0Xh7qKUskkgrU,De Mi Para Ti,Maria Blaya,0,2020-04-30,0.409,0.289,11,-15.556,0,0.884,0.0325,0.0864,0.197,89.922,177333,4
29U4QwKktHIzOA2JVESLDx,Mentiras,Marc Seguí,52,2021-05-14,0.645,0.485,5,-6.541,1,0.13,0.0,0.0782,0.26,91.987,223043,4
1R9dlH1uHHuJJF8gp9WN19,Desde Aquella Vez,Edu Requejo,45,2021-06-18,0.681,0.652,9,-8.401,1,0.269,0.00335,0.0837,0.691,96.998,161500,4
3qDRfkAQLT4yQPtzYh9nrA,Si te vas,dani,46,2020-06-19,0.836,0.491,9,-8.164,1,0.0919,0.000499,0.092,0.477,103.001,223018,4
7siCyYmarG5TfLQbWlNKJ7,Un vermú conmigo,lusillón,49,2021-02-10,0.814,0.43,9,-8.62,1,0.335,0.0262,0.135,0.527,180.053,206681,4
31T6w8SRDYJI3LI4sZc8ct,Y Tú No,Ters,46,2021-09-23,0.823,0.664,2,-6.782,1,0.615,0.0,0.185,0.709,131.993,165572,4
1G4blOR671oPTfalkEIabL,De Ti,Julieta Venegas,58,2021-07-28,0.671,0.788,7,-4.423,1,0.213,0.455,0.0764,0.37,90.008,224739,4
06Uhw7KLSBqAJqYy2fdjiN,Qué me vas a contar,Yarea,47,2021-08-20,0.882,0.554,9,-9.745,1,0.468,2.86e-06,0.0987,0.393,131.039,165343,4
09buqaOhxQghIqa2rXDG1K,Verano,Paranoid 1966,50,2021-09-09,0.815,0.66,11,-5.963,1,0.053,0.0143,0.131,0.735,119.109,152000,4
3zih7Y6qJH9s4IvHyB3cfn,cómo quieres que me enfade,ROJAZ,0,2020-04-16,0.596,0.329,9,-8.283,1,0.577,0.0,0.0754,0.284,180.005,160250,3
6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,PNAU,96,2021-08-13,0.796,0.798,1,-6.312,1,0.034,4.19e-05,0.0952,0.942,116.032,202735,4
40ooZvE9wvUQ8oNfSzs73N,Cuando ya no me quieras,Jimena Amarillo,46,2021-05-20,0.537,0.249,8,-15.097,1,0.688,0.0139,0.135,0.275,93.015,188000,4
4EHGtG35oewveBfnPLeAWW,Dos X Tres - Demo,Roy Borland,0,2019-09-23,0.656,0.301,6,-13.077,0,0.569,0.321,0.147,0.484,103.159,150991,4
4vXlDcmTeOtibVCX8X5DjJ,Paint,Lawson Hull,0,2019-09-12,0.646,0.52,6,-8.709,1,0.333,0.293,0.109,0.301,110.976,281333,4
555uSzxhjD72TQBEoPOfYT,Poca Suerte,Ankli,49,2021-04-02,0.646,0.799,0,-7.286,1,0.0498,0.0,0.153,0.786,152.957,172549,4
2mPC1Y8qVCEK0Mm5Sku46g,El Camino,Iseo,9,2020-06-26,0.515,0.202,11,-11.216,1,0.93,0.0,0.0864,0.323,180.159,214760,4
6gpTColYGFZ1q0isxHoE0u,el sofá,daniel sabater,48,2021-04-09,0.789,0.276,4,-10.963,1,0.701,0.336,0.118,0.213,90.028,191796,4
3m4vWJUZHcQRh6ZV2aHkFH,Rayito,Borneo,0,2019-11-01,0.578,0.153,10,-12.068,1,0.947,4.84e-05,0.108,0.435,116.38,172965,3
1Z0GfmDY4xTdRNOCGWckyV,Mírame,Ellegas,46,2021-02-26,0.741,0.34,6,-10.505,0,0.885,0.0496,0.107,0.636,122.473,188478,5
5Xt7uirmf3G3yI7XSvd1NV,Tremenda suerte,Jimena Amarillo,43,2021-10-06,0.853,0.551,2,-7.492,1,0.476,0.00114,0.0971,0.677,96.969,158351,4
59Yw7voTK4BUe4dWqEFfHf,Quiero Pero No,Rojuu,61,2021-11-23,0.722,0.688,5,-4.686,1,0.341,0.00044,0.116,0.701,126.072,210448,4
1s85LXbICacrdeMlFAG8st,creo que todo estará bien,Gus,47,2021-08-13,0.56,0.458,2,-11.194,1,0.0927,0.00047,0.0849,0.388,134.941,220074,4
